Macetero,Soporte para colocar macetas de plantas
Microbio,Organismo unicelular solo visible al microscopio
Matrimonio,Unión de hombre y mujer concertada mediante ciertos ritos o formalidades legales para establecer y mantener una comunidad de vida e intereses
Moler,Quebrantar un cuerpo reduciéndolo a menudísimas partes o hasta hacerlo polvo
Moneda,Pieza de oro plata cobre u otro metal regularmente en forma de disco y acuñada con los distintivos elegidos por la autoridad emisora para acreditar su legitimidad y valor y billete o papel de curso legal
Magnitud,Tamaño de un cuerpo
Minero,Perteneciente o relativo a la minería
Medicina,Conjunto de conocimientos y técnicas aplicados a la predicción prevención diagnóstico y tratamiento de las enfermedades humanas y en su caso a la rehabilitación de las secuelas que puedan producir
