Obelisco,Pilar muy alto de cuatro caras iguales un poco convergentes y terminado por una punta piramidal muy achatada que sirve de adorno en lugares públicos
Orejas,Órgano externo de la audición
Olla,Vasija redonda de barro o metal que comúnmente forma barriga con cuello y boca anchos y con una o dos asas la cual sirve para cocer alimentos calentar agua
Ocupar,Tomar posesión o apoderarse de un territorio de un lugar de un edificio invadiéndolo o instalándose en él
