Hincha,Odio encono o enemistad
Hombreras,Almohadilla que algunas prendas de vestir llevan por dentro de los hombros para realzarlos
Cuchillo,Instrumento para cortar formado por una hoja de metal de un corte solo y con mango
Hormiguero,Lugar donde viven las hormigas
Himen,Repliegue membranoso que reduce el orificio externo de la vagina mientras conserva su integridad
Hermana,Persona o animal que tiene en común con otra el mismo padre y la misma madre o solo uno de ellos
Gaucho,Perteneciente o relativo a los Un apero gaucho
Hombres,Ser animado racional varón o mujer El hombre prehistórico
