Laberinto,Lugar formado artificiosamente por calles y encrucijadas para confundir a quien se adentre en él de modo que no pueda acertar con la salida
Liviano,De poco peso
Levantarse,Mover hacia arriba algo
Libro,Conjunto de muchas hojas de papel u otro material semejante que encuadernadas forman un volumen
Lavado,Dicho de una persona mulata De piel muy clara
Lejos,A gran distancia en lugar o tiempo distante o remoto Está muy lejos de mi ánimo
Lesbiana,Dicho de una mujer
Linchar,Ejecutar sin proceso y tumultuariamente a un sospechoso o a un reo
Lavarropas,máquina para lavar
