Escuela,Establecimiento público donde se da a los niños la instrucción primaria
Esposar,Sujetar con esposas
Estado,Situación en que se encuentra alguien o algo y en especial cada uno de sus sucesivos modos de ser o estar
Enero,Primer mes del año que tiene días
Emparejar,Juntar dos personas animales o cosas formando pareja
Embolsar,Guardar algo especialmente dinero en la bolsa
