Gelatina,Sustancia sólida incolora y transparente cuando está pura e inodora insípida y notable por su mucha coherencia Procede de la transformación del colágeno del tejido conjuntivo y de los huesos y cartílagos por efecto de la cocción
Garfio,Instrumento de hierro curvo y puntiagudo que sirve para aferrar algún objeto
Gusto,Sentido corporal con el que se perciben sustancias químicas disueltas como las de los alimentos
Gota,Pequeña porción de un líquido con forma esferoidal
Grito,Voz muy esforzada y levantada
Grabar,Señalar con incisión o abrir y labrar en hueco o en relieve sobre una superficie un letrero una figura o una representación de cualquier objeto
Girasol,Planta anual oriunda del de la familia de las compuestas con tallo herbáceo derecho de unos tres centímetros de grueso y cerca de dos metros de altura hojas alternas pecioladas y acorazonadas flores terminales que se doblan en la madurez amarillas de a de diámetro y fruto con muchas semillas negruzcas casi elipsoidales comestibles y de las que puede extraerse un aceite bueno para condimento y que se cultiva para la obtención del aceite y en menor escala para consumir las semillas
Gobierno,Acción y efecto de gobernar o gobernarse
